fold,n_train,n_test,n_test_filtered,n_test_removed,mae_log,mse_log,r2_log,mae_orig,mse_orig,rmse_orig,r2_orig
1,59772,14934,13827,1107,0.9450473189353943,1.5963413715362549,-0.6290321350097656,5.02802038192749,142.23828125,11.926369156201732,-0.6395618915557861
2,59524,15182,13597,1585,0.913544774055481,1.535003900527954,-0.661166787147522,6.239419937133789,471.51751708984375,21.71445410526923,-3.5143165588378906
3,59916,14790,13134,1656,0.8834753036499023,2.167297124862671,-0.7530508041381836,2.168298920311775e+26,inf,inf,-inf
4,59730,14976,14078,898,0.9514827132225037,1.6847507953643799,-0.5280240774154663,6.311804294586182,293.5577392578125,17.133526760647165,-2.128818988800049
5,59882,14824,14185,639,0.9898589849472046,1.7420083284378052,-0.5135023593902588,11.161394119262695,5830.4951171875,76.35767883577591,-47.53711700439453
