fold,n_train,n_test,n_test_filtered,n_test_removed,mae_log,mse_log,r2_log,mae_orig,mse_orig,rmse_orig,r2_orig
1,59772,14934,14785,149,0.7870663404464722,1.2662919759750366,-0.29222381114959717,4.71983003616333,9777.6005859375,98.88175052019204,-114.22021484375
2,59524,15182,15110,72,0.739203691482544,1.1036863327026367,-0.19439899921417236,4.207170486450195,111.55500030517578,10.561960059817297,-0.11641204357147217
3,59916,14790,14527,263,0.7101688385009766,1.2369831800460815,-0.0005522966384887695,4.145220756530762,618.596435546875,24.87159897447036,-5.504528045654297
4,59730,14976,14832,144,0.7550042271614075,1.1891580820083618,-0.07853472232818604,4.098276615142822,98.7877197265625,9.939201161389304,-0.07200467586517334
5,59882,14824,14732,92,0.8392091989517212,1.3171137571334839,-0.14434289932250977,5.166350364685059,132.03939819335938,11.490839751443728,-0.1107562780380249
