fold,n_train,n_test,n_test_filtered,n_test_removed,mae_log,mse_log,r2_log,mae_orig,mse_orig,rmse_orig,r2_orig
1,59772,14934,14767,167,0.7868061065673828,1.0695692300796509,-0.09147250652313232,3.773395894400935,87.39221302840721,9.348380235549216,-0.033348730746378674
2,59524,15182,15081,101,0.7213497161865234,0.9466838836669922,-0.024492383003234863,4.103402125075015,103.73578414681222,10.185076541038473,-0.03676287875580542
3,59916,14790,14520,270,0.733339250087738,1.0407437086105347,0.15817886590957642,3.73360050713476,93.03307791210783,9.645365618373821,0.022001871216000057
4,59730,14976,14823,153,0.7610668540000916,1.0298725366592407,0.06593310832977295,4.047894460202621,92.96961203570615,9.642075089715188,-0.008353940347807232
5,59882,14824,14725,99,0.7943649888038635,1.0247222185134888,0.10969460010528564,5.188554334088186,120.59640522641334,10.981639459862691,-0.01414497756755706
