fold,n_train,n_test,n_test_filtered,n_test_removed,mae_log,mse_log,r2_log,mae_orig,mse_orig,rmse_orig,r2_orig
1,59772,14934,14785,149,0.7930360701257128,1.0013218175497651,-0.021827369645023298,3.7927255233184685,85.78958262098826,9.262266602780782,-0.01095304363247962
2,59524,15182,15110,72,0.7070308112104263,0.8719769673858241,0.0563547392103263,4.052112633887735,101.38954258984405,10.069237438348749,-0.014678939871805241
3,59916,14790,14527,263,0.739880658520646,1.0457701969740623,0.15411317914740008,3.7557959122280846,96.12813457985699,9.804495631079499,-0.01078522359118006
4,59730,14976,14832,144,0.7616252573182613,0.9825506751539592,0.10885271550430908,4.0192576279809815,90.43343112014067,9.509649368937882,0.018652622293781507
5,59882,14824,14732,92,0.7654028711268691,0.9553878619994884,0.1699341291274179,5.047658034015713,118.5942321020938,10.890097892218131,0.002348642491622699
