fold,n_train,n_test,mae_log,mse_log,r2_log,mae_orig,mse_orig,rmse_orig,r2_orig
1,47407,7083,0.5382445454597473,0.7063001990318298,0.3155757784843445,6.13641357421875,1479.9954833984375,38.470709421564315,0.021644890308380127
2,40153,14337,0.5566779971122742,0.7733893394470215,0.32637453079223633,25.944854736328125,1414850.0,1189.4746739632585,-0.00023889541625976562
3,45780,8710,0.5264250636100769,0.7139832973480225,0.33398890495300293,14.448476791381836,473278.90625,687.952691869143,0.00011777877807617188
4,41822,12668,0.5378955006599426,0.7157254815101624,0.34558922052383423,8.453380584716797,13062.134765625,114.28969667308161,0.022328495979309082
5,42798,11692,0.5528120398521423,0.7676754593849182,0.32375359535217285,23.102588653564453,1125024.875,1060.671897902457,-0.0002315044403076172
