Location_LatitudeStandardized,Location_LongitudeStandardized,Location_HUCEightDigitCode,Is_Detected,ph1to1h2o_r,cec7_r,caco3_r,om_r,sandtotal_r,claytotal_r,ksat_r,awc_r,ec_r,dbovendry_r,Result_Characteristic_Arsenic,Result_Characteristic_Arsenic ion (3+),"Result_Characteristic_Arsenic, Inorganic",year,month,day
34.9170555555556,-117.212111111111,18090207.0,1,8.153846153846153,9.676923201634345,1.3076923076923077,0.25,69.63846236008864,13.346153846153847,33.65615386687792,0.09230769167725845,5.538461538461538,1.6915384615384619,1,0,0,2016,1,28
34.3986111111111,-117.237611111111,18090208.0,1,7.647368456188001,4.884210498709419,0.6842105263157895,0.42105263157894735,86.96842153448807,5.815789473684211,71.78947368421052,0.07947368488499988,1.0,1.698421052631579,1,0,0,2011,12,20
33.8941824468423,-116.58223618223,18100201.0,1,8.198130674451315,2.2570092722634305,2.02803738317757,0.26471963197549925,92.81308411214954,2.7429906542056073,88.02803738317758,0.055607477377090514,1.794392523364486,1.6303271028037383,1,0,0,2011,4,19
33.4721305555556,-117.118572222222,18070302.0,1,8.19999980926514,7.5,2.0,1.75,68.95000076293945,13.0,18.5,0.10000000149011598,10.0,1.5950000000000002,1,0,0,2010,7,26
34.9342111111111,-117.178875,18090207.0,1,7.900000095367431,3.8999999761581425,1.0,0.375,74.37499809265137,5.125,71.25,0.0800000000745059,3.0,1.71,0,0,1,2016,3,16
34.9422137671831,-115.502490844972,18100100.0,1,7.65862067814531,12.632758526966493,1.7586206896551724,0.037413793615996775,63.51724137931034,19.603448275862068,44.09026666772862,0.07362069012918339,1.0,1.5055172413793105,1,0,0,1981,7,23
34.0413305555556,-117.052958333333,18070203.0,1,6.699999809265141,2.5,0.0,0.5,88.25,2.5,92.0,0.06499999947845934,0.0,1.615,1,0,0,2004,4,22
36.8049497727318,-119.744865785653,18030009.0,1,6.69999980926514,7.5,0.0,0.5,68.0,12.5,28.0,0.129999995231628,0.0,1.6200000000000003,1,0,0,1982,3,25
36.8049492157814,-119.780700971621,18030009.0,1,6.699999809265138,9.166666666666666,0.0,0.4166666666666667,63.0,16.0,5.30000001192093,0.102499997243285,0.0,1.7033333333333334,1,0,0,1983,3,23
34.0572348931217,-116.935859828136,18070203.0,1,6.699999809265139,4.066666666666666,0.0,0.5800000031789144,78.5,5.0,92.0,0.059999998658895506,0.0,1.7393333333333332,1,0,0,1997,7,31
36.6732827732011,-119.779308881316,18030009.0,1,7.583333333333333,11.066666603088366,1.1666666666666667,0.4166666666666667,50.666666666666664,13.333333333333334,3.850000003973643,0.086666663487752,0.5,1.6766666666666667,1,0,0,2006,8,22
39.7676666666667,-121.781555555556,18020157.0,1,6.774999976158142,19.625,0.0,1.3875000020489097,48.18749952316285,19.25,24.5,0.10874999966472365,0.0,1.65625,1,0,0,2010,10,12
37.6399300623526,-121.229383450616,18040002.0,1,7.0,11.05000019073485,0.0,0.875,68.5,13.5,28.2299995422363,0.109999999403954,0.0,1.6200000000000003,1,0,0,1988,1,22
36.9663405393648,-121.768562080363,18060002.0,1,6.833333333333333,22.5,0.0,0.75,40.4666659037272,31.166666666666668,3.3750000099341073,0.07999999883274227,0.6666666666666666,1.6266666666666667,1,0,0,1983,8,15
34.7566526398267,-117.326992246557,18090208.0,1,7.424999952316284,10.025000035762787,0.75,0.625,59.55000019073488,14.625,21.67500001192093,0.11000000126659855,2.0,1.6499999999999997,1,0,0,1995,1,19
38.9406666666667,-120.063277777778,16050101.0,1,6.334415547259443,9.48607595208325,0.0,12.682033897793225,81.39607882032207,3.870658682491965,131.4309419889504,0.12937853272772773,0.0,1.5952287581699347,1,0,0,2007,8,15
38.8124013039014,-121.774132031755,18020104.0,1,8.085714272090367,43.51428604125978,1.0,1.5428571360451828,1.8285714217594684,60.67142868041992,0.14285714498587998,0.10857142827340535,1.142857125827243,1.9799999999999995,1,0,0,1997,1,14
34.8736944444444,-116.605388888889,18090208.0,1,7.90000009536743,3.899999976158142,1.0,0.375,74.37499809265138,5.125,71.25,0.08000000007450589,3.0,1.7100000000000002,1,0,0,2018,1,30
37.7185398712819,-121.067992306424,18040010.0,1,7.0,11.633333206176765,0.0,0.4166666666666667,55.96666781107584,14.166666666666666,21.666666666666668,0.1466666658719377,0.0,1.6099999999999999,1,0,0,2002,8,19
41.3753055555556,-123.451361111111,18010210.0,1,6.0,8.0,0.0,1.600000003973643,65.9000015258789,15.0,37.70967741935484,0.07000000029802324,0.0,1.6400000000000001,1,0,0,2015,10,5
33.8291194444444,-118.342686111111,18070106.0,1,7.292380977812267,6.204761994452704,0.4666666666666667,1.1571428571428573,78.43809523809524,8.185714285714285,59.92676294474375,0.10676190427371424,0.9285714285714286,1.6292380952380952,1,0,0,2014,9,23
34.7691522896113,-117.308936266981,18090208.0,1,7.90000009536743,4.899999856948855,0.5,0.375,74.25,6.5,60.0,0.0850000008940697,2.0,1.73,1,0,0,2010,9,16
37.6399300623526,-121.229383450616,18040002.0,1,7.0,11.05000019073485,0.0,0.875,68.5,13.5,28.2299995422363,0.109999999403954,0.0,1.6200000000000003,1,0,0,1986,8,25
34.6053055555556,-117.599972222222,18090208.0,1,8.19999980926514,8.49999984105429,0.6666666666666666,0.25,57.93333180745443,13.0,40.90000001589457,0.10333333164453497,5.0,1.7600000000000002,1,0,0,2007,2,5
33.9541333333333,-116.947152777778,18100201.0,1,6.69999980926514,9.700000127156576,0.0,0.36666666716337204,69.0,11.666666666666666,49.333333333333336,0.11666666467984492,0.6666666666666666,1.6266666666666667,1,0,0,2007,2,13
