As-tot,distance_km_mrds,percentage_Manufacturing,percentage_Administrative,percentage_Wholesale Trade
0.0,13.305191154190164,80.0,0.0,20.0
0.0,1.9861444302635785,50.0,50.0,0.0
0.0,52.22870046001856,0.0,0.0,0.0
0.0,1.9032908389638208,80.0,20.0,0.0
0.0,4.378856015125621,60.0,40.0,0.0
0.0,5.406472434782268,0.0,0.0,0.0
0.0,2.166597665793637,0.0,0.0,0.0
0.0,3.9425202645703834,20.0,80.0,0.0
0.0,10.911362071567847,0.0,0.0,0.0
0.0,5.275711705766802,50.0,50.0,0.0
0.0,7.589033555456291,100.0,0.0,0.0
0.0,7.067979132091416,100.0,0.0,0.0
0.0,77.9122715719318,0.0,0.0,0.0
0.0,0.9635230606709826,100.0,0.0,0.0
0.0,9.296497080344334,100.0,0.0,0.0
0.0,5.225949050495527,0.0,0.0,0.0
0.0,2.118104461905057,100.0,0.0,0.0
0.0,4.401603373976521,50.0,50.0,0.0
0.0,12.41207831443668,100.0,0.0,0.0
0.0,18.16858386599251,0.0,0.0,0.0
0.0,12.944715074769537,0.0,0.0,0.0
0.0,3.3575983745554465,0.0,0.0,0.0
0.0,2.6557848780288067,100.0,0.0,0.0
0.0,5.626614458620739,100.0,0.0,0.0
0.0,7.687217090414871,0.0,0.0,0.0
0.0,6.018450222888068,0.0,0.0,0.0
0.0,8.23291291263142,100.0,0.0,0.0
0.0,3.253749378716493,0.0,100.0,0.0
0.0,5.497621391048137,60.0,40.0,0.0
0.0,2.1262278494231523,100.0,0.0,0.0
0.0,7.964374354982761,80.0,20.0,0.0
0.0,9.405680603637665,0.0,0.0,0.0
0.0,1.657357802555533,80.0,20.0,0.0
0.0,10.47932094060493,0.0,100.0,0.0
0.0,2.0643893148904726,60.0,40.0,0.0
0.0,4.639034048022706,100.0,0.0,0.0
0.0,5.892277619791784,100.0,0.0,0.0
0.0,4.198701823717373,100.0,0.0,0.0
0.0,3.62580552722972,80.0,0.0,20.0
0.0,4.1514225916135095,80.0,20.0,0.0
0.0,1.350926298215836,0.0,100.0,0.0
0.0,5.840683175064294,60.0,0.0,40.0
0.0,16.57081403416326,0.0,0.0,0.0
0.0,7.572315412731804,0.0,100.0,0.0
0.0,1.2936013524546746,100.0,0.0,0.0
0.0,4.900849527023279,40.0,60.0,0.0
0.0,26.095527085863672,0.0,100.0,0.0
0.0,23.885419357267526,0.0,0.0,0.0
0.0,3.419622332108264,100.0,0.0,0.0
0.0,1.840467954666648,0.0,0.0,0.0
0.0,7.138203965845463,0.0,0.0,0.0
0.0,3.003725999103699,100.0,0.0,0.0
0.0,7.315134994926905,100.0,0.0,0.0
0.0,3.820875034521869,100.0,0.0,0.0
0.0,1.1002886805236107,100.0,0.0,0.0
0.0,4.466060644541852,0.0,0.0,0.0
0.0,26.273159122592894,0.0,0.0,0.0
0.0,28.871411013236944,0.0,0.0,0.0
0.0,42.635161383304336,0.0,0.0,0.0
0.0,2.3252067143058377,0.0,0.0,0.0
0.0,6.660803281293488,0.0,0.0,0.0
0.0,24.594480856944664,0.0,0.0,0.0
0.0,3.8646927538993823,0.0,100.0,0.0
0.0,6.329288650190127,100.0,0.0,0.0
0.0,11.044010237694788,0.0,0.0,0.0
0.0,10.0204744492306,0.0,0.0,0.0
0.0,25.973313684905207,0.0,0.0,0.0
0.0,7.433600396051952,0.0,0.0,0.0
0.0,11.364448425767742,100.0,0.0,0.0
0.0,22.43925545446516,0.0,0.0,0.0
0.0,12.663933790072992,0.0,0.0,0.0
0.0,4.860862050104517,100.0,0.0,0.0
0.0,3.879125850527423,100.0,0.0,0.0
0.0,2.992748433629885,0.0,0.0,0.0
0.0,1.4234041085524305,0.0,0.0,0.0
0.0,10.259081012427734,0.0,0.0,0.0
0.0,6.143528297693825,100.0,0.0,0.0
0.0,4.564078474970922,100.0,0.0,0.0
0.0,2.1721647551913263,0.0,0.0,0.0
0.0,7.227423050220078,20.0,80.0,0.0
0.0,12.667605389865114,100.0,0.0,0.0
0.0,5.564540495386995,0.0,0.0,0.0
0.0,4.442285543238624,0.0,0.0,0.0
0.0,4.545513669671983,0.0,0.0,100.0
0.0,13.460316758408112,0.0,0.0,0.0
0.0,5.991915875990101,0.0,0.0,0.0
0.0,11.694515136878568,0.0,0.0,0.0
0.0,8.593153582099918,0.0,0.0,0.0
0.0,2.2448496752177918,0.0,0.0,0.0
0.0,2.1828088058400037,100.0,0.0,0.0
0.0,8.662099303300034,100.0,0.0,0.0
0.0,6.878957900267617,100.0,0.0,0.0
0.0,5.7622339995550345,100.0,0.0,0.0
0.0,1.754302671335349,100.0,0.0,0.0
0.0,16.39954931977333,0.0,0.0,0.0
0.0,6.415466516120659,60.0,40.0,0.0
0.0,7.044395747442198,100.0,0.0,0.0
0.0,7.051135146948456,100.0,0.0,0.0
0.0,0.7232067054229935,0.0,0.0,0.0
0.0,2.283185082419725,100.0,0.0,0.0
0.0,3.4428674031891,80.0,0.0,20.0
0.0,5.3254777577044194,100.0,0.0,0.0
0.0,3.017608213320268,0.0,0.0,0.0
0.0,3.3851875852149957,100.0,0.0,0.0
0.0,3.83267161177224,0.0,0.0,0.0
0.0,15.07681486607289,0.0,0.0,0.0
0.0,10.33684568051346,0.0,0.0,0.0
0.0,2.850253475327642,0.0,0.0,0.0
0.0,3.3326576888243418,100.0,0.0,0.0
0.0,3.044647279752303,100.0,0.0,0.0
0.0,8.326493126210844,0.0,100.0,0.0
0.0,20.014508485944056,0.0,0.0,0.0
0.0,8.969236757352286,0.0,0.0,0.0
0.0,2.1329233016261604,0.0,0.0,0.0
0.0,20.266321546850527,0.0,0.0,0.0
0.0,3.5892712292710045,40.0,0.0,60.0
0.0,3.519204846192905,0.0,0.0,0.0
0.0,19.992244075129463,0.0,0.0,0.0
0.0,49.32917322957471,0.0,0.0,0.0
0.0,8.981825882402367,0.0,0.0,100.0
0.0,2.593206251241324,100.0,0.0,0.0
0.0,5.889867621771943,0.0,0.0,0.0
0.0,2.700592327044172,0.0,0.0,0.0
0.0,21.18833293587524,0.0,0.0,0.0
0.0,45.80872191728938,0.0,0.0,0.0
0.0,34.5966810417465,0.0,0.0,0.0
0.0,17.48902073369809,100.0,0.0,0.0
0.0,5.226560618434228,0.0,0.0,0.0
0.0,5.9763697020513415,100.0,0.0,0.0
0.0,16.61642916629919,0.0,0.0,0.0
0.0,27.428983459574265,100.0,0.0,0.0
0.0,31.2678587180428,0.0,0.0,0.0
0.0,9.144308636777206,100.0,0.0,0.0
0.0,16.342239894644703,0.0,0.0,0.0
0.0,3.004183121051939,100.0,0.0,0.0
0.0,9.750703113517917,100.0,0.0,0.0
0.0,3.832032688150461,0.0,0.0,100.0
0.0,18.49673404449694,0.0,0.0,0.0
0.0,2.837682088246325,0.0,0.0,0.0
0.0,12.157219456406043,0.0,0.0,0.0
0.0,11.165222317369563,0.0,0.0,0.0
0.0,4.564031896454019,0.0,0.0,0.0
0.0,3.1001352586344373,0.0,0.0,0.0
0.0,2.367388777119069,0.0,0.0,0.0
0.0,4.3857006198821775,0.0,0.0,0.0
0.0,4.2568756913341605,0.0,0.0,0.0
0.0,7.93537206139248,0.0,0.0,0.0
0.0,3.10265401168214,80.0,20.0,0.0
0.0,2.170654712338676,0.0,0.0,0.0
0.0,10.9818207988254,0.0,0.0,0.0
0.0,6.771162486116504,0.0,0.0,0.0
0.0,0.3497996310897703,0.0,100.0,0.0
0.0,7.859659989160988,0.0,0.0,0.0
0.0,3.3574637451635936,0.0,0.0,0.0
0.0,0.9832581859089372,0.0,0.0,0.0
0.0,9.401297937701749,0.0,0.0,0.0
0.0,6.002511958939662,0.0,0.0,0.0
0.0,6.798531107723145,0.0,0.0,0.0
0.0,2.121008225367926,100.0,0.0,0.0
0.0,4.396330797540862,100.0,0.0,0.0
0.0,5.867400722640295,0.0,0.0,0.0
0.0,3.7812563999089215,100.0,0.0,0.0
0.0,2.9150970654151265,100.0,0.0,0.0
0.0,1.0947091923721504,60.0,40.0,0.0
0.0,4.184889753721153,0.0,0.0,0.0
0.0,3.3514871488100817,100.0,0.0,0.0
0.0,1.6636707931673267,100.0,0.0,0.0
0.0,7.412110275262336,0.0,0.0,0.0
0.0,1.557788817584272,100.0,0.0,0.0
0.0,1.7983363464607531,100.0,0.0,0.0
0.0,2.885334772467294,100.0,0.0,0.0
0.0,11.285814159986442,0.0,100.0,0.0
0.0,4.94587204452259,100.0,0.0,0.0
0.0,10.703350616476484,100.0,0.0,0.0
0.0,6.1050031947748,0.0,0.0,0.0
0.0,5.202452244731037,0.0,0.0,0.0
0.0,11.576409305639428,0.0,0.0,0.0
0.0,1.5163705752987782,0.0,100.0,0.0
0.0,19.21529022921784,0.0,0.0,0.0
0.0,11.85235337199191,0.0,0.0,0.0
0.0,2.3440572115857994,80.0,0.0,20.0
0.0,6.040895937405748,60.0,0.0,40.0
0.0,1.3040782709907082,0.0,0.0,0.0
0.0,2.4993585383145307,100.0,0.0,0.0
0.0,4.1597583005467325,100.0,0.0,0.0
0.0,3.343858866921244,0.0,0.0,0.0
0.0,7.664569349441908,0.0,0.0,0.0
0.0,7.804815185666224,0.0,0.0,0.0
0.0,2.553144736813489,100.0,0.0,0.0
0.0,4.242000848458514,0.0,0.0,0.0
0.0,8.467547770418232,0.0,100.0,0.0
0.0,6.826624776793418,0.0,0.0,0.0
0.0,3.062639933396148,0.0,100.0,0.0
0.0,1.232419925209238,0.0,100.0,0.0
0.0,4.485968384222336,0.0,0.0,0.0
0.0,2.797764971119832,0.0,0.0,0.0
0.0,3.462920537993748,0.0,0.0,0.0
0.0,7.037119450640313,0.0,0.0,0.0
0.0,1.1667310714983523,100.0,0.0,0.0
0.0,2.328304287267856,100.0,0.0,0.0
0.0,8.983369637951402,0.0,0.0,0.0
0.0,0.997139952540954,0.0,0.0,0.0
0.0,4.712561749474622,0.0,0.0,0.0
0.0,12.255035406172208,0.0,0.0,0.0
0.0,1.9468663069122307,60.0,40.0,0.0
0.0,9.778781477072924,0.0,100.0,0.0
0.0,28.91093275685111,0.0,0.0,0.0
0.0,2.140211633650702,100.0,0.0,0.0
0.0,20.98276499563766,0.0,0.0,0.0
0.0,6.335841719709592,0.0,0.0,0.0
0.0,1.9348606750933703,100.0,0.0,0.0
0.0,4.553885399618234,0.0,0.0,0.0
0.0,4.588216430007123,100.0,0.0,0.0
0.0,0.7971143725296015,100.0,0.0,0.0
0.0,9.34863827876372,0.0,0.0,0.0
0.0,2.7750017248992966,60.0,0.0,40.0
0.0,2.9692947702369885,0.0,0.0,0.0
0.0,3.0249779390652,100.0,0.0,0.0
0.0,24.60965869566356,0.0,0.0,0.0
0.0,5.536436533395515,100.0,0.0,0.0
0.0,20.44563957472881,0.0,0.0,0.0
0.0,6.889176061427537,100.0,0.0,0.0
0.0,3.4891678629325726,0.0,0.0,0.0
0.0,9.492605209615224,100.0,0.0,0.0
0.0,5.05439496495316,0.0,0.0,0.0
0.0,56.30108459142209,0.0,0.0,0.0
0.0,29.113634486441395,0.0,0.0,0.0
0.0,7.266405648917813,0.0,0.0,0.0
0.0,11.353545261699429,0.0,0.0,0.0
0.2,15.271363913483333,0.0,0.0,0.0
0.0,4.147769560227896,0.0,0.0,0.0
0.0,36.28628938273504,20.0,0.0,80.0
0.0,14.071357283014436,0.0,0.0,0.0
0.0,39.56496532482881,0.0,0.0,0.0
0.0,7.30254363143195,0.0,0.0,0.0
0.0,4.340909794463835,0.0,0.0,0.0
0.0,13.450928297917528,0.0,0.0,0.0
0.0,4.972180632444491,0.0,0.0,0.0
0.0,52.342000402033634,0.0,0.0,0.0
0.0,6.968004456982092,0.0,0.0,0.0
0.0,6.710310414822187,100.0,0.0,0.0
0.0,1.3486480511474976,0.0,0.0,0.0
0.0,8.0888800820274,0.0,0.0,0.0
0.0,7.34936637638543,0.0,0.0,0.0
0.0,16.63639143953774,0.0,0.0,0.0
